date,code,open,high,low,close,volume,foreign_net,prop_net,dealer_net,total_net
20260326,6776,62.7,63.0,60.2,60.2,894360.0,28000.0,0.0,0.0,28000.0
20260326,6781,1130.0,1175.0,1075.0,1075.0,1555965.0,-272830.0,11941.0,-30186.0,-291075.0
20260326,6789,334.0,344.0,324.5,325.0,3361982.0,-294000.0,-95.0,-2446.0,-296541.0
20260326,6805,1930.0,2045.0,1905.0,1905.0,1881168.0,-34184.0,-83926.0,8564.0,-109546.0
20260326,6830,468.29,473.28,458.81,473.28,2250290.0,468000.0,0.0,70219.0,538219.0
20260326,6831,385.14,396.06,371.74,387.13,3012156.0,1085636.0,115412.0,10296.0,1211344.0
20260326,6834,31.5,31.5,30.4,30.7,173080.0,-13000.0,0.0,0.0,-13000.0
20260326,6854,159.5,164.0,152.5,152.5,2795263.0,-155000.0,0.0,-3072.0,-158072.0
20260326,6862,185.5,194.0,185.0,185.0,343300.0,-15880.0,0.0,-1040.0,-16920.0
20260326,6909,48.9,50.0,46.0,46.1,2213581.0,-98000.0,0.0,-428.0,-98428.0
20260326,6937,272.0,273.5,264.0,270.0,851608.0,-4900.0,-1000.0,-14402.0,-20302.0
20260326,6962,31.3,33.9,31.25,33.9,6024231.0,852000.0,-1000.0,20561.0,871561.0
20260326,7711,292.5,292.5,278.0,280.0,507298.0,-25283.0,0.0,0.0,-25283.0
20260326,7769,3935.0,3950.0,3825.0,3850.0,848658.0,-12174.0,-23885.0,1151.0,-34908.0
20260326,7795,412.88,412.88,369.11,377.06,1864593.0,-417000.0,363.0,0.0,-416637.0
20260326,7822,1685.0,1710.0,1585.0,1600.0,380228.0,,,,
20260326,8011,20.9,21.15,20.0,20.0,2299580.0,-215000.0,0.0,-1000.0,-216000.0
20260326,8016,198.5,201.0,196.5,199.5,515045.0,218985.0,-1043.0,53000.0,270942.0
20260326,8021,252.0,268.0,250.0,256.5,16089040.0,2556920.0,-6173.0,132622.0,2683369.0
20260326,8028,200.5,204.5,193.5,196.0,28152649.0,-153153.0,-2038.0,-39390.0,-194581.0
20260326,8039,116.5,118.0,111.0,111.0,7344344.0,-760710.0,-1036.0,-13803.0,-775549.0
